0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
"
561,TO00178340_TO0324_965_000002,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. II","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
"
562,TO00178340_TO0324_965_000009,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IX","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 114
* | Copertina | 119
"
563,TO00178340_TO0324_965_000034,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. X","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 112
"
564,TO00178340_TO0324_965_000024,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 99
* | Avviso | 111
* | Copertina | 115
"
565,TO00178340_TO0324_965_000028,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IV","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 133
"
566,TO00178340_TO0324_965_000025,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. I","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 106
"
567,TO00178340_TO0324_965_000004,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IV","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 118
"
568,TO00178341_TO0324_966_000001,"Biblioteca oltremontana e piemontese Vol. I","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 140
"
569,TO00178340_TO0324_965_000016,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IV","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 116
"
570,TO00178341_TO0324_966_000014,"Biblioteca oltremontana e piemontese Vol. II","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 134
"
571,TO00178341_TO0324_966_000016,"Biblioteca oltremontana e piemontese Vol. IV","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 138
"
572,TO00178340_TO0324_965_000013,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. I","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 111
"
573,TO00178341_TO0324_966_000015,"Biblioteca oltremontana e piemontese Vol. III","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 128
* | Copertina | 135
"
574,TO00178341_TO0324_966_000012,"Biblioteca oltremontana e piemontese Vol. XII","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 133
* | Copertina | 139
"
575,TO00178340_TO0324_965_000012,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 107
* | Copertina | 121
"
576,TO00178341_TO0324_966_000004,"Biblioteca oltremontana e piemontese Vol. IV","nan","Torino : Reale Stamperia",1790,""
577,TO0E040741_TO0324_PNI-2214_000000,"Principiorum calculi differentialis et integralis expositio elementaris ad normam dissertationis ab Academia Scient. Reg. Prussica anno 1786. praemii honore decoratae elaborata auctore Simone L'Huiler ...","Lhuilier, Simon Antoine Jean","[6] 4o : ill., XXVIII",1795,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Illustrissimo excellentissimo Domino Comti ab Herzberg ... | 7
* | Tabula contentorum | 9
* | Introductio | 11
* | Principiorum Calculi Differentialis et Integralis ... | 39
* | Errata corrige | 378
* | Tavole | 379
* | Copertina | 399
"
578,TO0E112344_TO0324_PNI-20588_000000,"Traite de statique, par J.-B. Labey, docteur es-sciences de l'Universite Imperiale, Instituteur a l'Ecole Imperiale ...","Labey, J. B.","A Paris : chez Bachelier, Libraire, quai des Augustins, n° ",1812,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : A Monsieur LaPlace, comte de l'Empire ... | 7
* | Avertissement | 9
* | Table des matiéres | 11
* | Introduction | 17
* | Traité de Statique | 23
* | Additions. Application du calcul infinitésimal à la recharge des centres de gravité, ou d'inertie | 219
* | Errata corrige | 260
* | Tavole | 261
* | Copertina | 271
"
579,PARE043796_TO0324_PNI-21921_000000,"Essai physico-geometrique, contenant: 1. La determination du centre de gravite d'un secteur de cercle quelconque. 2. La resolutions geometrique du probleme de la quadrature definie du cercle, deja approuvee par plusieurs geometres de diverses nations. Expose a la censure du public, & nominativement a celle des physiciens-geometres, ... Avec une lettre d'invitation particuliere a m. D'Alambert, pour le refuter aussi, s'il y lieu. Dedie a Sa Saintete et aux monarques. Par m. le Rohberg-Herr de Vausenville, astronome, correspondant de l'Academie royale de sciences de Paris ...","Le Roberger, Guillaume","A Paris : chez Merigot l'aine, libraire, quai des Augustins, a la descente du Pont-Neuf, D'Houry, imprimeur libraire de monseigneur le Duc d'Orleans, rue de la ville Bouclerie, Esprit, au Palais-Royal, libraire",1778,"* | Copertina | 1
* | Occhietto : Essai physico-géométrique | 3
* | Frontespizio | 5
* | Nota On prévient le lecteur, que chaque exemplaire de cet écrit, est signé de la propre main de l'auteur... | 6
* | Epitre aux monarques de France, d'Europe et de la Terre | 7
* | Epitre a notre très-saint pere le Pape Pie VI | 11
* | Approbation du censeur | 15
* | Errata corrige | 18
* | Préface | 19
* | Avant-propos | 43
* | Essai physico-géométrique. Contenant: ... | 63
* | Invitation faite a M. D'Alembert, pour réfuter les résolution exposées dans cet écrit. ... | 159
* | Invitation générale a réfuter cet écrit, insérée dans le journal des sciences & beaux-arts de France, ... | 191
* | Observations | 207
* | Illustrazione | 227
* | Copertina | 229
"
580,RMLE004569_TO0324_PNI-2228_000000,"Oeuvres de M. Mariotte, de l'Academie royale des sciences; comprenant tous les traitez de cet auteur, tant ceux qui avoient deja paru separement, que ceux qui n'avoient pas encore ete publies; ...","Mariotte, Edme","A La Haye : Chez Jean Neaulme",1740,"* | Copertina Tomo I | 1
* | Frontespizio Tomo I | 5
* | Avis au lecteur | 7
* | Table du contenu et de l'ordre des ouvrages de Mr. Mariotte. Tome premier | 11
* | Table du contenu et de l'ordre des ouvrages de Mr. Mariotte. Tome second | 12
* | Oeuvres de M. Mariotte. Tomo I | 13
* | Tavole | 341
* | Copertina Tomo I | 359
* | Copertina Tomo II | 361
* | Frontespizio Tomo II | 365
* | Table des Traitez qui font dans ce Tome Second | 367
* | Oeuvres de M. Mariotte. Tomo II | 367
* | Table des matières contenus dans ces differens traittez, comme elles se trouvent selon l'ordre de l'impression | 744
* | Catalogue des livres, imprimés chez Jean Neaulme | 777
* | Copertina Tomo II | 781
"
581,TO0E098818_TO0324_PNI-16504_000000,"Tables requisite to be used with the astronomical and nautical ephemeris for finding the latitude and longitude at sea Pub. by order of the Commissioners of longitude / [Nevil Maskelyne]"," Maskelyne, Nevil","London : Printed by W. Richardson, sold by C. Nourse ; ",1781,"* | Copertina | 1
* | Occhietto : Tables requisite to be used with the nautical ephemeris for finding the latitude and longitude at sea. price five shillings | 5
* | Frontespizio | 7
* | Preface | 9
* | Tables requisite to be used with the nautical ephemeris for finding the latitude and longitude at sea | 13
* | Occhietto : The explanation and use of the tables | 187
* | General introduction : concerning the instruments and observations | 189
* | Explanation of the tables | 192
* | The use and exemplification of the tables | 202
* | Appendix | 237
* | Explanation of the use of the foregoing tables | 243
* | Errata corrige | 252
* | Contents | 253
* | Copertina | 259
"
582,PUVE011091_TO0324_PNI-14496_000002,"Experiments and observations on different kinds of air and other branches of natural philosophy connected with the subject...  by Joseph Priestley. Vol. 2","Priestley, Joseph","Birmingham : printed by Thomas Pearson and sold by J.Johnson, St. Paul's church-yard, London",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Contents of the second volume | 7
* | Experiment and observation | 13
* | Copertina | 487
"
583,PUVE011092_TO0324_PNI-14494_000003,"Experiments and observations on different kinds of air and other branches of natural philosophy connected with the subject...  by Joseph Priestley vol. 3","Priestley, Joseph","Birmingham : printed by Thomas Pearson and sold by J.Johnson, St. Paul's church-yard, London",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Contents of the third volume | 7
* | Experiment and observation | 13
* | Index to all there volumes | 579
* | Errata corrige | 586
* | A catalogue of books ... | 587
* | Copertina | 595
"
584,TO0E039822_TO0324_PNI-1731_000000,"Disquisitio de inuestiganda vera quantitate parallaxeos solis, ex transitu Veneris ante discum solis anno 1769, cui accedunt animaduersiones in tractatum ... De parallaxi solis. Auctore Andrea Joh. Lexell ...","Lexell, Anders Johan ","Petropoli : typis Academiae Imperialis Scientiarum",1772,"* | Copertina | 1
* | Frontespizio | 3
* | Disquisitio de investiganda parallaxi Solis ex transitv Veneris per Solem. Anno 5 | 1769
* | Animadversiones in tractatum Rev. Pat. Hell. de parallaxi Solis | 74
* | Supplementum | 118
* | Errata corrige | 134
* | Illustrazione | 135
* | Copertina | 137
"
585,TO0E039861_TO0324_PNI-2733_000000,"I. H. Lambert ... Photometria sive de mensura et gradibus luminis, colorum et umbrae","Lambert, Johann Heinrich","Augustae Vindelicorum : sumptibus viduae Eberhardi Klett typis Chistophori Petri Detleffsen",1760,"* | Copertina | 1
* | Frontespizio | 5
* | Prefatio | 7
* | Index capitum | 17
* | Photometria | 21
* | Tavole | 581
* | Copertina | 599
"
586,TO0E033284_TO0324_PNI-2593_000000,"Traité elementaire du calcul des probabilites; par S. F. Lacroix","Lacroix, Sylvestre Francois","Paris : Bachelier ...",1822,"* | Copertina | 1
* | Occhietto : Traité élémentaire du calcul des probabilités | 5
* | Frontespizio | 7
* | Avertissement | 9
* | Table | 11
* | Traité élémentaire du calcul des probabilités. Notions préliminaires sur le sens des mots Certitude et Probabilité | 15
* | Illustrazione | 363
"
587,TO0E040519_TO0324_PNI-2046_000000,"Exposition des decouvertes philosophiques de m. le chevalier Newton, par m. MacLaurin ... ouvrage traduit de l'anglois par m. Lavirotte ...","MacLaurin, Colin","A Paris : chez Durand, rue S. Jacques, au Griffon chez Pissot, quai des Augustins, a la Sagesse",1749,"* | Copertina | 1
* | Frontespizio | 7
* | Dedica : A Monsieur De Mairan, l'un des quarante de l'académie francoise ... | 9
* | Avertissement du traducteur | 13
* | Memoires sur la vie et les écrits de M. Maclaurin | 19
* | Table des chapitres | 64
* | Errata corrige | 66
* | Exposition des dècouvertes | 67
* | Imprimatur | 489
* | Tavole | 491
* | Copertina | 505
"
588,TO0E039485_TO0324_PNI-1621_000000,"The residual analysis; a new branch of the algebraic art, of very extensive use, both in pure mathematics, and natural philosophy. Book 1. By John Landen","Landen, John","London : printed for the author; and sold by by L. Hawes, W. Clarke, and R. Collins",1764,"* | Copertina | 1
* | Frontespizio | 5
* | Preface | 7
* | The Subscribers to this Work, whose Names are at present, come to Hand, are | 11
* | The Residual Analysis | 13
* | Tavole | 141
* | Copertina | 153
"
589,TO0E041764_TO0324_PNI-2749_000000,"I.H. Lambert ... Insigniores orbitae cometarum proprietates","Lambert, Johann Heinrich","Augustae Vindelicorum : sumtibus Eberhardi Klett Viduae",1761,"* | Copertina | 1
* | Manoscritto | 3
* | Frontespizio | 9
* | Praefatio | 11
* | Insigniores orbitae Cometarum proprietate | 17
* | Errata corrige | 148
* | Tavole | 149
* | Copertina | 155
"
590,PUVE011090_TO0324_PNI-14495_000001,"Experiments and observations on different kinds of air and other branches of natural philosophy connected with the subject...  by Joseph Priestley vol. 1","Priestley, Joseph","Birmingham : printed by Thomas Pearson and sold by J.Johnson, St. Paul's church-yard, London",1790,"* | Copertina | 1
* | Occhietto : Experiments and observations on differrent kinds of air | 5
* | Epigrafe | 6
* | Illustrazione | 8
* | Frontespizio | 9
* | Dedica : To his royal higness George Prince of Wales | 11
* | Preface | 21
* | Contents of the fist volume | 51
* | The introduction | 59
* | Advertisement | 100
* | Experiments and observations | 101
* | Illustrazioni | 471
* | Copertina | 489
"
591,TO0E041486_TO0324_PNI-2612_000000,"Traite elementaire de trigonometrie rectiligne et spherique, et d'application de l'algebre a la geometrie par S. F. Lacroix","Lacroix, Sylvestre Francois ","Paris : M.me V.ve Courcier, quai des Augusti",1813,"* | Copertina | 1
* | Occhietto : Traité élémentaire de trigonométrie rectiligne et sphérique | 5
* | Frontespizio | 7
* | Epigrafe | 8
* | Indice | 9
* | Traité élémentaire de trigonométrie rectiligne et sphérique | 19
* | Appendice | 281
* | Tavole | 315
* | Copertina | 327
"
592,UBOE000097_TO0324_PNI-18430_000000,"La meridiana del tempio di San Petronio rinnovata l'anno 1776 / [Eustachio Zanotti]. Si aggiunge la ristampa del libro pubblicato l'anno 1695 sopra la ristaurazione della Meridiana eseguita dai celebri matematici Gio. Domenico Cassini e Domenico Guglielmini","Zanotti, Eustachio","In Bologna : nell'Istituto delle Scienze",1779,"* | Copertina | 1
* | Frontespizio | 5
* | Illustrissimi ed eccelsi signori senatori presidente perpetuo e fabbricieri della reverenda fabbrica di S. Petronio | 7
* | Descrizione delle operazioni fatte per la rinnovazione della meridiana di San Petronio l'anno ... 9 | 1776
* | Illustrissimi Signori miei signori padroni collendissimi | 15
* | Esame della meridiana fatto nel mese d'agosto dell'anno 35 | 1778
* | Occhietto : La meridiana del tempio di San Petronio. Tirata, e preparata per le osservazioni astronomiche l'anno ... 61 | 1655
* | A gl'illustrissimi Signori. Li signori Marchese Girolamo Capacelli ...  | 63
* | Illustrissimi signori | 65
* | Illustrazione | 68
* | Della meridiana di S. Petronio nuovamente esaminata | 69
* | Memorie delle operazioni fatte, e delli strumenti adoperati nell'ultima ristorazione della meridiana ...    | 114
* | Illustrazioni | 156
* | Copertina | 164
"
593,TO0E067157_TO0324_PNI-17915_000000,"Saggio del sistema metrico della Repubblica francese col rapporto delle sue misure a quelle del Piemonte. Di Anton-Maria Vassalli-Eandi ... Seconda edizione riveduta ed accresciuta","Vassalli Eandi, Anton Maria","Torino : presso i libraj Ferrero e Pomba, ventoso anno X ",1802,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica: Al cittadino Ferdinando La-Villa. Prefetto del Dipartimento dell'Eridano, Anton-Maria Vassalli-Eandi | 7
* | Indice | 10
* | Introduzione | 13
* | Saggio del sistema metrico | 21
* | Copertina | 111
"
594,TO0E080533_TO0324_PRE-68300_000001,"Guida dei cadetti del R.o esercito negli studi sopra i quali devono essere esaminati. Vol. 1: Contenente le principali regole di servizio disciplina ed amministrazione militare","nan","Torino : dalla tipografia Pane, [dopo il 1824]",1824,"* | Copertina | 1
* | Frontespizio | 3
* | Dedica : Carlo Felice per Grazia di Dio Re di sardegna, di Cipro e di Gerusalemme ... | 5
* | Istruzione per l'eseguimento delle Sovrane determinazioni contenute in Regio Brevetto del giorno di giugno ultimo scorso 9 | 19
* | Indice | 13
* | Guida dei Cadetti del R. Esercito ... | 19
* | Copertina | 301
"
595,TO0E003541_TO0324_PNI-12989_000000,"Memoria sopra il bolide degli 11 settembre 1784, e sopra i bolidi in generale, del prete Antonmaria Vassalli ...","Vassalli Eandi, Anton Maria","Torino : nella Stamperia reale, ",1786,"* | Copertina | 1
* | Frontespizio | 3
* | All'Ill.mo, e Rev.mo Signor D. Giambatista Ribrocchi commendatore della Sacra religione de' santi Maurizio, e Lazzaro, Abate di S. Pietro di Ponte Curone, Patrizio Torlonese ...  | 5
* | Ill.mo, e Rev.mo Signore | 7
* | Errata corrige | 11
* | Discorso proemiale | 13
* | Discorso sopra il bolide degli XI settembre MDCCLXXXIV, e sopra i bolidi in generale | 49
* | Note. Alla memoria sopra il bolide  | 143
* | Copertina | 165
"
596,TO0E086201_TO0324_PNI-13046_000000,"Esame della teoria del sig . dottore Crawford intorno al calore ed alla combustione di Guglielmo Morgan tradotto dall'originale inglese, e rischiarato con annotazioni da Antonmaria Vassalli ...","Morgan, William ","Torino : presso Giammichele Briolo stamp. e lib. delle RR. Accad. delle scienze e Societa agraria",1788,"* | Copertina | 1
* | Frontespizio | 5
* | Necessarium puto, ut caveamus maxime, ne, inquirentes in rei tam profunde abditae ingenium ... | 6
* | Al lettore  | 7
* | Errata corrige | 12
* | Esame della teoria del Sig. Dottore Crawford ... | 13
* | Note del traduttore  | 88
* | Illustrazione | 109
* | Copertina | 113
"
597,TO0E076897_TO0324_PNI-11657_000000,"Principj di matematica sublime ad uso delle regie scuole militari d'artiglieria e fortificazione","nan","Torino : Dalla Stamperia Barberis, contrada degli stampatori, N. ",1814,"* | Copertina | 1
